# == pyFAI calibration ==
# Distance Sample to Detector: 0.30723295647962184 m
# PONI: 2.002e-01, 1.996e-01 m
# Rotations: -0.005249 0.007516 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 307.246 mm
# Center: x=1005.963, y=1012.551 pix
# Tilt: 0.525 deg  TiltPlanRot: 55.072 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.000e-04, 2.000e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.199e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ./output//CeO2-std-4.0s-300.0mm-56301-primary-pe1_image-00000.tiff.txt
#       2th_deg             I 
  2.069578e+00    2.303275e+03
  2.090805e+00    2.341892e+03
  2.112031e+00    2.379970e+03
  2.133257e+00    2.427475e+03
  2.154484e+00    2.463709e+03
  2.175710e+00    2.506449e+03
  2.196937e+00    2.538235e+03
  2.218163e+00    2.573413e+03
  2.239390e+00    2.602606e+03
  2.260616e+00    2.622188e+03
  2.281843e+00    2.640399e+03
  2.303069e+00    2.641519e+03
  2.324295e+00    2.647923e+03
  2.345522e+00    2.642955e+03
  2.366748e+00    2.636551e+03
  2.387975e+00    2.626462e+03
  2.409201e+00    2.608813e+03
  2.430428e+00    2.594921e+03
  2.451654e+00    2.574386e+03
  2.472880e+00    2.561610e+03
  2.494107e+00    2.541151e+03
  2.515333e+00    2.524816e+03
  2.536560e+00    2.508468e+03
  2.557786e+00    2.490474e+03
  2.579013e+00    2.477896e+03
  2.600239e+00    2.461186e+03
  2.621466e+00    2.448967e+03
  2.642692e+00    2.432659e+03
  2.663918e+00    2.418555e+03
  2.685145e+00    2.403884e+03
  2.706371e+00    2.388305e+03
  2.727598e+00    2.374899e+03
  2.748824e+00    2.355957e+03
  2.770051e+00    2.341258e+03
  2.791277e+00    2.320550e+03
  2.812504e+00    2.301975e+03
  2.833730e+00    2.282780e+03
  2.854956e+00    2.263159e+03
  2.876183e+00    2.248389e+03
  2.897409e+00    2.231584e+03
  2.918636e+00    2.217616e+03
  2.939862e+00    2.196265e+03
  2.961089e+00    2.179329e+03
  2.982315e+00    2.159978e+03
  3.003542e+00    2.140515e+03
  3.024768e+00    2.121904e+03
  3.045994e+00    2.102109e+03
  3.067221e+00    2.087129e+03
  3.088447e+00    2.068143e+03
  3.109674e+00    2.054091e+03
  3.130900e+00    2.038345e+03
  3.152127e+00    2.022176e+03
  3.173353e+00    2.005955e+03
  3.194580e+00    1.991124e+03
  3.215806e+00    1.979509e+03
  3.237032e+00    1.966186e+03
  3.258259e+00    1.956670e+03
  3.279485e+00    1.944944e+03
  3.300712e+00    1.934541e+03
  3.321938e+00    1.922835e+03
  3.343165e+00    1.910300e+03
  3.364391e+00    1.900132e+03
  3.385617e+00    1.884955e+03
  3.406844e+00    1.877030e+03
  3.428070e+00    1.866563e+03
  3.449297e+00    1.858033e+03
  3.470523e+00    1.851281e+03
  3.491750e+00    1.842649e+03
  3.512976e+00    1.837146e+03
  3.534203e+00    1.828865e+03
  3.555429e+00    1.824718e+03
  3.576655e+00    1.819434e+03
  3.597882e+00    1.813993e+03
  3.619108e+00    1.807371e+03
  3.640335e+00    1.802083e+03
  3.661561e+00    1.802688e+03
  3.682788e+00    1.798886e+03
  3.704014e+00    1.797857e+03
  3.725241e+00    1.794690e+03
  3.746467e+00    1.794648e+03
  3.767693e+00    1.795705e+03
  3.788920e+00    1.795022e+03
  3.810146e+00    1.795204e+03
  3.831373e+00    1.792199e+03
  3.852599e+00    1.794690e+03
  3.873826e+00    1.794641e+03
  3.895052e+00    1.797182e+03
  3.916279e+00    1.800462e+03
  3.937505e+00    1.803072e+03
  3.958731e+00    1.809273e+03
  3.979958e+00    1.808844e+03
  4.001184e+00    1.813322e+03
  4.022411e+00    1.814551e+03
  4.043637e+00    1.818175e+03
  4.064864e+00    1.821543e+03
  4.086090e+00    1.824039e+03
  4.107317e+00    1.830111e+03
  4.128543e+00    1.831783e+03
  4.149769e+00    1.838804e+03
  4.170996e+00    1.840975e+03
  4.192222e+00    1.844806e+03
  4.213449e+00    1.850572e+03
  4.234675e+00    1.856493e+03
  4.255902e+00    1.866317e+03
  4.277128e+00    1.869998e+03
  4.298354e+00    1.878043e+03
  4.319581e+00    1.881148e+03
  4.340807e+00    1.888298e+03
  4.362034e+00    1.896680e+03
  4.383260e+00    1.903294e+03
  4.404487e+00    1.911727e+03
  4.425713e+00    1.914399e+03
  4.446940e+00    1.924877e+03
  4.468166e+00    1.931384e+03
  4.489392e+00    1.936934e+03
  4.510619e+00    1.942519e+03
  4.531845e+00    1.947679e+03
  4.553072e+00    1.957521e+03
  4.574298e+00    1.959865e+03
  4.595525e+00    1.967286e+03
  4.616751e+00    1.971616e+03
  4.637978e+00    1.977697e+03
  4.659204e+00    1.983510e+03
  4.680430e+00    1.985594e+03
  4.701657e+00    1.992491e+03
  4.722883e+00    1.993727e+03
  4.744110e+00    1.999732e+03
  4.765336e+00    2.004323e+03
  4.786563e+00    2.010414e+03
  4.807789e+00    2.017564e+03
  4.829016e+00    2.019855e+03
  4.850242e+00    2.028302e+03
  4.871468e+00    2.031128e+03
  4.892695e+00    2.039241e+03
  4.913921e+00    2.045362e+03
  4.935148e+00    2.050309e+03
  4.956374e+00    2.056180e+03
  4.977601e+00    2.058266e+03
  4.998827e+00    2.065722e+03
  5.020054e+00    2.065960e+03
  5.041280e+00    2.071077e+03
  5.062506e+00    2.074821e+03
  5.083733e+00    2.077049e+03
  5.104959e+00    2.082892e+03
  5.126186e+00    2.082650e+03
  5.147412e+00    2.085670e+03
  5.168639e+00    2.084133e+03
  5.189865e+00    2.086033e+03
  5.211091e+00    2.085595e+03
  5.232318e+00    2.085332e+03
  5.253544e+00    2.088596e+03
  5.274771e+00    2.086944e+03
  5.295997e+00    2.090442e+03
  5.317224e+00    2.089648e+03
  5.338450e+00    2.092766e+03
  5.359677e+00    2.093295e+03
  5.380903e+00    2.093263e+03
  5.402129e+00    2.098105e+03
  5.423356e+00    2.098658e+03
  5.444582e+00    2.104775e+03
  5.465809e+00    2.107753e+03
  5.487035e+00    2.113770e+03
  5.508262e+00    2.118779e+03
  5.529488e+00    2.121619e+03
  5.550715e+00    2.128084e+03
  5.571941e+00    2.131488e+03
  5.593167e+00    2.137574e+03
  5.614394e+00    2.139651e+03
  5.635620e+00    2.144713e+03
  5.656847e+00    2.149222e+03
  5.678073e+00    2.149989e+03
  5.699300e+00    2.150367e+03
  5.720526e+00    2.149797e+03
  5.741753e+00    2.158180e+03
  5.762979e+00    2.163996e+03
  5.784205e+00    2.170615e+03
  5.805432e+00    2.175908e+03
  5.826658e+00    2.179029e+03
  5.847885e+00    2.186213e+03
  5.869111e+00    2.189103e+03
  5.890338e+00    2.196520e+03
  5.911564e+00    2.201291e+03
  5.932791e+00    2.208222e+03
  5.954017e+00    2.216001e+03
  5.975243e+00    2.219773e+03
  5.996470e+00    2.227892e+03
  6.017696e+00    2.231319e+03
  6.038923e+00    2.238424e+03
  6.060149e+00    2.243383e+03
  6.081376e+00    2.249056e+03
  6.102602e+00    2.255780e+03
  6.123828e+00    2.260667e+03
  6.145055e+00    2.269488e+03
  6.166281e+00    2.272626e+03
  6.187508e+00    2.279825e+03
  6.208734e+00    2.285888e+03
  6.229961e+00    2.290993e+03
  6.251187e+00    2.299990e+03
  6.272414e+00    2.306230e+03
  6.293640e+00    2.315938e+03
  6.314866e+00    2.320106e+03
  6.336093e+00    2.326586e+03
  6.357319e+00    2.332786e+03
  6.378546e+00    2.337939e+03
  6.399772e+00    2.347203e+03
  6.420999e+00    2.352179e+03
  6.442225e+00    2.362660e+03
  6.463452e+00    2.368850e+03
  6.484678e+00    2.377256e+03
  6.505904e+00    2.385433e+03
  6.527131e+00    2.390351e+03
  6.548357e+00    2.398298e+03
  6.569584e+00    2.401734e+03
  6.590810e+00    2.410975e+03
  6.612037e+00    2.416886e+03
  6.633263e+00    2.423670e+03
  6.654490e+00    2.431563e+03
  6.675716e+00    2.435646e+03
  6.696942e+00    2.443540e+03
  6.718169e+00    2.446122e+03
  6.739395e+00    2.451273e+03
  6.760622e+00    2.454389e+03
  6.781848e+00    2.459473e+03
  6.803075e+00    2.464847e+03
  6.824301e+00    2.467034e+03
  6.845528e+00    2.474819e+03
  6.866754e+00    2.478564e+03
  6.887980e+00    2.484213e+03
  6.909207e+00    2.488249e+03
  6.930433e+00    2.492379e+03
  6.951660e+00    2.499318e+03
  6.972886e+00    2.503063e+03
  6.994113e+00    2.508072e+03
  7.015339e+00    2.509163e+03
  7.036565e+00    2.513531e+03
  7.057792e+00    2.516704e+03
  7.079018e+00    2.516345e+03
  7.100245e+00    2.519095e+03
  7.121471e+00    2.519023e+03
  7.142698e+00    2.523120e+03
  7.163924e+00    2.524144e+03
  7.185151e+00    2.526291e+03
  7.206377e+00    2.530606e+03
  7.227603e+00    2.533441e+03
  7.248830e+00    2.537449e+03
  7.270056e+00    2.537446e+03
  7.291283e+00    2.539275e+03
  7.312509e+00    2.537357e+03
  7.333736e+00    2.535205e+03
  7.354962e+00    2.534431e+03
  7.376189e+00    2.531907e+03
  7.397415e+00    2.528958e+03
  7.418641e+00    2.521463e+03
  7.439868e+00    2.518316e+03
  7.461094e+00    2.517331e+03
  7.482321e+00    2.516596e+03
  7.503547e+00    2.515952e+03
  7.524774e+00    2.510980e+03
  7.546000e+00    2.509003e+03
  7.567227e+00    2.504684e+03
  7.588453e+00    2.501302e+03
  7.609679e+00    2.499434e+03
  7.630906e+00    2.494627e+03
  7.652132e+00    2.492331e+03
  7.673359e+00    2.488277e+03
  7.694585e+00    2.487213e+03
  7.715812e+00    2.484251e+03
  7.737038e+00    2.481812e+03
  7.758265e+00    2.479472e+03
  7.779491e+00    2.473308e+03
  7.800717e+00    2.470542e+03
  7.821944e+00    2.464633e+03
  7.843170e+00    2.461152e+03
  7.864397e+00    2.455756e+03
  7.885623e+00    2.448615e+03
  7.906850e+00    2.443735e+03
  7.928076e+00    2.436500e+03
  7.949302e+00    2.431904e+03
  7.970529e+00    2.425179e+03
  7.991755e+00    2.420491e+03
  8.012982e+00    2.414983e+03
  8.034208e+00    2.407870e+03
  8.055435e+00    2.402579e+03
  8.076661e+00    2.395549e+03
  8.097888e+00    2.391361e+03
  8.119114e+00    2.385145e+03
  8.140340e+00    2.378317e+03
  8.161567e+00    2.373807e+03
  8.182793e+00    2.369111e+03
  8.204020e+00    2.365998e+03
  8.225246e+00    2.359088e+03
  8.246473e+00    2.353546e+03
  8.267699e+00    2.346518e+03
  8.288926e+00    2.339029e+03
  8.310152e+00    2.335050e+03
  8.331378e+00    2.328877e+03
  8.352605e+00    2.323087e+03
  8.373831e+00    2.315705e+03
  8.395058e+00    2.309631e+03
  8.416284e+00    2.304316e+03
  8.437511e+00    2.298227e+03
  8.458737e+00    2.293115e+03
  8.479964e+00    2.285688e+03
  8.501190e+00    2.279792e+03
  8.522416e+00    2.273725e+03
  8.543643e+00    2.267533e+03
  8.564869e+00    2.262320e+03
  8.586096e+00    2.256435e+03
  8.607322e+00    2.252852e+03
  8.628549e+00    2.247547e+03
  8.649775e+00    2.243077e+03
  8.671002e+00    2.238429e+03
  8.692228e+00    2.234416e+03
  8.713454e+00    2.231778e+03
  8.734681e+00    2.226218e+03
  8.755907e+00    2.222071e+03
  8.777134e+00    2.215749e+03
  8.798360e+00    2.209936e+03
  8.819587e+00    2.204738e+03
  8.840813e+00    2.199649e+03
  8.862039e+00    2.195740e+03
  8.883266e+00    2.189346e+03
  8.904492e+00    2.184282e+03
  8.925719e+00    2.177491e+03
  8.946945e+00    2.169589e+03
  8.968172e+00    2.166001e+03
  8.989398e+00    2.160914e+03
  9.010625e+00    2.156503e+03
  9.031851e+00    2.150023e+03
  9.053077e+00    2.145144e+03
  9.074304e+00    2.139783e+03
  9.095530e+00    2.133045e+03
  9.116757e+00    2.127739e+03
  9.137983e+00    2.121962e+03
  9.159210e+00    2.126788e+03
  9.180436e+00    2.143792e+03
  9.201663e+00    2.138643e+03
  9.222889e+00    2.106779e+03
  9.244115e+00    2.098617e+03
  9.265342e+00    2.094183e+03
  9.286568e+00    2.088635e+03
  9.307795e+00    2.083458e+03
  9.329021e+00    2.077549e+03
  9.350248e+00    2.070615e+03
  9.371474e+00    2.066021e+03
  9.392701e+00    2.059574e+03
  9.413927e+00    2.053661e+03
  9.435153e+00    2.047597e+03
  9.456380e+00    2.043935e+03
  9.477606e+00    2.041063e+03
  9.498833e+00    2.035961e+03
  9.520059e+00    2.031453e+03
  9.541286e+00    2.026267e+03
  9.562512e+00    2.022022e+03
  9.583739e+00    2.017424e+03
  9.604965e+00    2.013501e+03
  9.626191e+00    2.010850e+03
  9.647418e+00    2.007029e+03
  9.668644e+00    2.004495e+03
  9.689871e+00    2.001115e+03
  9.711097e+00    1.997262e+03
  9.732324e+00    1.993780e+03
  9.753550e+00    1.988843e+03
  9.774776e+00    1.985919e+03
  9.796003e+00    1.982773e+03
  9.817229e+00    1.979624e+03
  9.838456e+00    1.976876e+03
  9.859682e+00    1.974002e+03
  9.880909e+00    1.972230e+03
  9.902135e+00    1.968223e+03
  9.923362e+00    1.966865e+03
  9.944588e+00    1.964734e+03
  9.965814e+00    1.962138e+03
  9.987041e+00    1.961785e+03
  1.000827e+01    1.958758e+03
  1.002949e+01    1.956616e+03
  1.005072e+01    1.953895e+03
  1.007195e+01    1.952090e+03
  1.009317e+01    1.950199e+03
  1.011440e+01    1.948642e+03
  1.013563e+01    1.949975e+03
  1.015685e+01    1.949471e+03
  1.017808e+01    1.949001e+03
  1.019931e+01    1.948336e+03
  1.022053e+01    1.947916e+03
  1.024176e+01    1.946595e+03
  1.026298e+01    1.943065e+03
  1.028421e+01    1.941921e+03
  1.030544e+01    1.939755e+03
  1.032666e+01    1.937024e+03
  1.034789e+01    1.936154e+03
  1.036912e+01    1.933768e+03
  1.039034e+01    1.932804e+03
  1.041157e+01    1.932090e+03
  1.043280e+01    1.932500e+03
  1.045402e+01    1.933457e+03
  1.047525e+01    1.934865e+03
  1.049648e+01    1.938762e+03
  1.051770e+01    1.940689e+03
  1.053893e+01    1.940535e+03
  1.056015e+01    1.939869e+03
  1.058138e+01    1.937236e+03
  1.060261e+01    1.934846e+03
  1.062383e+01    1.931706e+03
  1.064506e+01    1.931726e+03
  1.066629e+01    1.932169e+03
  1.068751e+01    1.932077e+03
  1.070874e+01    1.932479e+03
  1.072997e+01    1.931490e+03
  1.075119e+01    1.931784e+03
  1.077242e+01    1.932060e+03
  1.079365e+01    1.932972e+03
  1.081487e+01    1.933652e+03
  1.083610e+01    1.935019e+03
  1.085733e+01    1.940214e+03
  1.087855e+01    1.944434e+03
  1.089978e+01    1.950566e+03
  1.092100e+01    1.957347e+03
  1.094223e+01    1.964075e+03
  1.096346e+01    1.972742e+03
  1.098468e+01    1.981354e+03
  1.100591e+01    1.990538e+03
  1.102714e+01    2.000055e+03
  1.104836e+01    2.011381e+03
  1.106959e+01    2.027342e+03
  1.109082e+01    2.047607e+03
  1.111204e+01    2.080227e+03
  1.113327e+01    2.132572e+03
  1.115450e+01    2.228648e+03
  1.117572e+01    2.420916e+03
  1.119695e+01    2.823049e+03
  1.121817e+01    3.737011e+03
  1.123940e+01    5.829925e+03
  1.126063e+01    1.054834e+04
  1.128185e+01    2.042440e+04
  1.130308e+01    3.550532e+04
  1.132431e+01    5.096612e+04
  1.134553e+01    6.027490e+04
  1.136676e+01    6.309322e+04
  1.138799e+01    6.284868e+04
  1.140921e+01    5.917837e+04
  1.143044e+01    4.930538e+04
  1.145167e+01    3.420329e+04
  1.147289e+01    1.966650e+04
  1.149412e+01    1.025037e+04
  1.151534e+01    5.652860e+03
  1.153657e+01    3.574134e+03
  1.155780e+01    2.673384e+03
  1.157902e+01    2.275746e+03
  1.160025e+01    2.086463e+03
  1.162148e+01    1.991009e+03
  1.164270e+01    1.935324e+03
  1.166393e+01    1.898053e+03
  1.168516e+01    1.871641e+03
  1.170638e+01    1.850122e+03
  1.172761e+01    1.833522e+03
  1.174884e+01    1.817756e+03
  1.177006e+01    1.802586e+03
  1.179129e+01    1.788175e+03
  1.181251e+01    1.772849e+03
  1.183374e+01    1.759578e+03
  1.185497e+01    1.746492e+03
  1.187619e+01    1.733106e+03
  1.189742e+01    1.720554e+03
  1.191865e+01    1.707805e+03
  1.193987e+01    1.696195e+03
  1.196110e+01    1.684185e+03
  1.198233e+01    1.674660e+03
  1.200355e+01    1.667288e+03
  1.202478e+01    1.659666e+03
  1.204601e+01    1.652276e+03
  1.206723e+01    1.643723e+03
  1.208846e+01    1.637280e+03
